GeneID,AverageFPKM
Glyma.01G055900.Wm82.a4.v1,1.76776
Glyma.01G055400.Wm82.a4.v1,20.297
Glyma.01G056300.Wm82.a4.v1,2.79177
Glyma.01G057400.Wm82.a4.v1,4.0674
Glyma.01G057100.Wm82.a4.v1,4.89008
Glyma.01G058000.Wm82.a4.v1,4.84735
Glyma.01G058200.Wm82.a4.v1,1.35563
Glyma.01G058300.Wm82.a4.v1,6.53865
Glyma.01G058600.Wm82.a4.v1,4.2477
Glyma.01G059200.Wm82.a4.v1,1.07134
Glyma.01G060900.Wm82.a4.v1,7.84673
Glyma.01G060700.Wm82.a4.v1,1.10419
Glyma.01G061100.Wm82.a4.v1,6.05858
Glyma.01G061500.Wm82.a4.v1,1.65864
Glyma.01G062300.Wm82.a4.v1,2.8589
Glyma.01G062000.Wm82.a4.v1,5.6686
Glyma.01G063000.Wm82.a4.v1,5.21373
Glyma.01G063100.Wm82.a4.v1,2.7291
Glyma.01G064600.Wm82.a4.v1,1.00401
Glyma.01G064400.Wm82.a4.v1,1.51121
Glyma.01G065100.Wm82.a4.v1,3.5101
Glyma.01G065400.Wm82.a4.v1,1.42049
Glyma.01G058500.Wm82.a4.v1,38.5192
Glyma.01G066600.Wm82.a4.v1,2.3428
Glyma.01G067100.Wm82.a4.v1,1.54089
Glyma.01G067000.Wm82.a4.v1,3.08235
Glyma.01G069600.Wm82.a4.v1,2.8274
Glyma.01G068800.Wm82.a4.v1,1.48183
Glyma.01G068000.Wm82.a4.v1,5.0951
Glyma.01G068600.Wm82.a4.v1,1.60638
Glyma.01G070700.Wm82.a4.v1,1.13786
Glyma.01G069500.Wm82.a4.v1,1.98178
Glyma.01G074400.Wm82.a4.v1,1.14076
Glyma.01G074600.Wm82.a4.v1,5.1962
Glyma.01G074800.Wm82.a4.v1,5.63598
Glyma.01G076100.Wm82.a4.v1,3.23022
Glyma.01G074000.Wm82.a4.v1,1.77407
Glyma.01G076900.Wm82.a4.v1,8.89085
Glyma.01G077300.Wm82.a4.v1,6.17317
Glyma.01G077900.Wm82.a4.v1,2.39267
Glyma.01G078150.Wm82.a4.v1,3.4163
Glyma.01G077600.Wm82.a4.v1,1.2166
Glyma.01G078200.Wm82.a4.v1,7.88223
Glyma.01G077200.Wm82.a4.v1,1.81524
Glyma.01G078800.Wm82.a4.v1,15.0597
Glyma.01G071300.Wm82.a4.v1,76.3305
Glyma.01G071400.Wm82.a4.v1,49.8242
Glyma.01G079300.Wm82.a4.v1,4.4911
Glyma.01G079500.Wm82.a4.v1,2.0444
Glyma.01G080400.Wm82.a4.v1,2.34082
