GeneID,AverageFPKM
Glyma.01G054300.Wm82.a4.v1,3.02965
Glyma.01G054800.Wm82.a4.v1,1.8458
Glyma.01G055500.Wm82.a4.v1,2.3902
Glyma.01G055900.Wm82.a4.v1,1.99767
Glyma.01G055400.Wm82.a4.v1,16.8234
Glyma.01G056400.Wm82.a4.v1,1.01672
Glyma.01G056800.Wm82.a4.v1,1.19206
Glyma.01G056300.Wm82.a4.v1,3.64962
Glyma.01G057400.Wm82.a4.v1,4.45575
Glyma.01G057100.Wm82.a4.v1,7.8147
Glyma.01G058000.Wm82.a4.v1,6.97755
Glyma.01G058200.Wm82.a4.v1,1.7258
Glyma.01G058300.Wm82.a4.v1,5.98395
Glyma.01G059200.Wm82.a4.v1,1.18066
Glyma.01G060900.Wm82.a4.v1,8.32287
Glyma.01G060700.Wm82.a4.v1,1.14324
Glyma.01G061100.Wm82.a4.v1,6.88483
Glyma.01G062000.Wm82.a4.v1,5.62845
Glyma.01G062300.Wm82.a4.v1,2.9258
Glyma.01G062400.Wm82.a4.v1,1.12072
Glyma.01G061500.Wm82.a4.v1,2.02553
Glyma.01G063000.Wm82.a4.v1,7.81885
Glyma.01G063100.Wm82.a4.v1,3.5412
Glyma.01G064900.Wm82.a4.v1,1.3423
Glyma.01G064400.Wm82.a4.v1,2.27148
Glyma.01G064600.Wm82.a4.v1,1.81792
Glyma.01G065400.Wm82.a4.v1,1.25005
Glyma.01G065100.Wm82.a4.v1,4.40038
Glyma.01G058500.Wm82.a4.v1,38.387
Glyma.01G066600.Wm82.a4.v1,2.7854
Glyma.01G067100.Wm82.a4.v1,1.68654
Glyma.01G067900.Wm82.a4.v1,1.03904
Glyma.01G067000.Wm82.a4.v1,3.02325
Glyma.01G069000.Wm82.a4.v1,2.50148
Glyma.01G069600.Wm82.a4.v1,8.4461
Glyma.01G068800.Wm82.a4.v1,1.56326
Glyma.01G070700.Wm82.a4.v1,1.28735
Glyma.01G068000.Wm82.a4.v1,4.8649
Glyma.01G069500.Wm82.a4.v1,1.49781
Glyma.01G068600.Wm82.a4.v1,1.66967
Glyma.01G073000.Wm82.a4.v1,1.05774
Glyma.01G074400.Wm82.a4.v1,1.23559
Glyma.01G074600.Wm82.a4.v1,7.4525
Glyma.01G074800.Wm82.a4.v1,4.7572
Glyma.01G075400.Wm82.a4.v1,1.02372
Glyma.01G076100.Wm82.a4.v1,2.94798
Glyma.01G076900.Wm82.a4.v1,7.36038
Glyma.01G074000.Wm82.a4.v1,1.89461
Glyma.01G077300.Wm82.a4.v1,5.24937
Glyma.01G077900.Wm82.a4.v1,2.11961
Glyma.01G077600.Wm82.a4.v1,1.409
Glyma.01G077400.Wm82.a4.v1,1.1928
Glyma.01G078200.Wm82.a4.v1,5.3109
Glyma.01G077200.Wm82.a4.v1,1.8902
Glyma.01G078800.Wm82.a4.v1,9.70758
Glyma.01G071300.Wm82.a4.v1,80.0195
Glyma.01G071400.Wm82.a4.v1,79.5757
Glyma.01G079300.Wm82.a4.v1,4.78075
Glyma.01G079500.Wm82.a4.v1,1.96853
Glyma.01G079100.Wm82.a4.v1,8.99643
Glyma.01G080400.Wm82.a4.v1,2.76585
Glyma.01G080500.Wm82.a4.v1,2.79712
Glyma.01G080200.Wm82.a4.v1,8.33612
Glyma.01G080600.Wm82.a4.v1,1.31478
Glyma.01G080700.Wm82.a4.v1,3.94015
Glyma.01G081300.Wm82.a4.v1,1.45064
Glyma.01G081500.Wm82.a4.v1,9.85145
Glyma.01G081900.Wm82.a4.v1,3.72027
Glyma.01G082000.Wm82.a4.v1,1.52321
Glyma.01G081600.Wm82.a4.v1,19.1273
Glyma.01G082200.Wm82.a4.v1,10.117
Glyma.01G082500.Wm82.a4.v1,3.62938
Glyma.01G082700.Wm82.a4.v1,1.5796
Glyma.01G083000.Wm82.a4.v1,6.74095
