"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.09G185500.Wm82.a4.v1",191.202017131903,10.8648234451244,2.68939424266274,4.03987755784265,5.34791132518875e-05,0.0344481372874292
"Glyma.10G015000.Wm82.a4.v1",166.932104494013,7.22247489859016,1.49878389343371,4.81889012167292,1.44359024873671e-06,0.00226571489539226
"Glyma.10G045400.Wm82.a4.v1",853.495385554304,6.32599291718003,1.57388143527312,4.01935798682462,5.83569442598463e-05,0.035982266577647
"Glyma.10G265100.Wm82.a4.v1",457.874948410551,6.87002941637803,1.66327703725441,4.13041800163277,3.6210423584854e-05,0.0271806459991614
"Glyma.10G266300.Wm82.a4.v1",637.715080087439,5.28910497348131,1.03108156461627,5.12966690026092,2.90255327307328e-07,0.000668148413106315
"Glyma.11G157100.Wm82.a4.v1",261.931879709053,6.54912607724578,1.40166564449525,4.67238824249286,2.97717517202962e-06,0.00380736598203743
"Glyma.11G157200.Wm82.a4.v1",342.220274945534,8.2602212289923,1.69705632792682,4.86738188536337,1.13086377161669e-06,0.00185940929381679
"Glyma.11G198300.Wm82.a4.v1",1713.44923514606,6.67368837520575,1.54462887409109,4.32057725136905,1.55621562495338e-05,0.0149262692538932
"Glyma.11G198500.Wm82.a4.v1",3242.6313928024,8.50429192817927,2.10557322119262,4.03894380997225,5.36924243387448e-05,0.0344481372874292
"Glyma.11G214500.Wm82.a4.v1",2300.32904302893,5.55715051530131,1.12983629787153,4.91854485979098,8.7189936959942e-07,0.00167254518516102
"Glyma.11G229700.Wm82.a4.v1",982.684430912677,9.19734070448499,2.10734215259397,4.36442686497957,1.27456480762357e-05,0.0134328099398579
"Glyma.12G069400.Wm82.a4.v1",86.7759593809806,-6.24177151028655,1.21071422270358,-5.1554457635332,2.53028273206683e-07,0.000624058088968112
"Glyma.12G199900.Wm82.a4.v1",19.2217172380507,19.4174027972536,3.27115469131679,5.93594758719198,2.92153129691187e-09,1.6812925691845e-05
"Glyma.13G076400.Wm82.a4.v1",23.3063321511364,19.5082269435339,3.23112894901201,6.03758848729912,1.56434383274527e-09,1.31599838135464e-05
"Glyma.13G091100.Wm82.a4.v1",3267.09493181505,9.19370898645205,2.02954913911533,4.52992677499768,5.90041327550694e-06,0.00679117899966597
"Glyma.13G094900.Wm82.a4.v1",347.273286744976,4.61905924902281,1.13968486327828,4.05292673251461,5.05808469662985e-05,0.0344481372874292
"Glyma.13G095000.Wm82.a4.v1",114.088103375053,10.1182523605886,2.48448732208621,4.07257154047071,4.6496911708494e-05,0.0327651400894406
"Glyma.13G095200.Wm82.a4.v1",795.887768644581,7.30600259376681,1.27144923702848,5.74620077702964,9.12709239113309e-09,3.50165970192705e-05
"Glyma.13G095700.Wm82.a4.v1",406.27062718269,7.5065246223928,1.76168958849208,4.26098029495537,2.03532179887128e-05,0.0175694065983066
"Glyma.13G109800.Wm82.a4.v1",296.761778588685,7.46853576428857,1.83113195382428,4.07864422260269,4.52990974015537e-05,0.0325860944620469
"Glyma.14G083000.Wm82.a4.v1",1671.28900811091,6.41450055017651,1.63703912499313,3.91835506692818,8.91553106660607e-05,0.0451630028607217
"Glyma.14G156300.Wm82.a4.v1",6456.3870672133,6.08268096498351,1.53006984081761,3.97542700517066,7.02530900732149e-05,0.0416519873209536
"Glyma.14G165000.Wm82.a4.v1",550.41652041381,6.77260145139066,1.55233476696695,4.36284852694719,1.28379833767358e-05,0.0134328099398579
"Glyma.15G071200.Wm82.a4.v1",4522.7943555512,9.28443308921755,2.14166693708808,4.33514330750287,1.45665194390509e-05,0.0147931573444408
"Glyma.15G071300.Wm82.a4.v1",1635.29446906434,7.42766901632396,1.40102658662887,5.30159033897874,1.14798216328843e-07,0.000360351601056237
"Glyma.15G152900.Wm82.a4.v1",9533.35489728593,5.04979074790446,1.25105238206409,4.03643430147418,5.42697137279953e-05,0.0344481372874292
"Glyma.15G159400.Wm82.a4.v1",540.45750145514,6.21392431302214,1.56921166531352,3.95990193698989,7.4980546558799e-05,0.0417581176149802
"Glyma.15G256000.Wm82.a4.v1",2176.52278029881,7.06896327535255,1.47133941860526,4.80444089648158,1.55184531945903e-06,0.00232972465372178
"Glyma.15G274900.Wm82.a4.v1",281.897468442618,7.97964895886502,2.0380102946292,3.91541150694573,9.02501432821628e-05,0.0451630028607217
"Glyma.17G023000.Wm82.a4.v1",2301.57844006013,8.1024605189644,1.89739139062584,4.27031584468814,1.95196338986336e-05,0.0175694065983066
"Glyma.17G041200.Wm82.a4.v1",2513.66877810109,8.22977044610345,1.98526251813209,4.14543183631288,3.39173889298382e-05,0.0260251893857419
"Glyma.17G065200.Wm82.a4.v1",78.1030704125673,9.57370624572356,2.41492508373984,3.96439057682791,7.35836898426879e-05,0.0416519873209536
"Glyma.17G128000.Wm82.a4.v1",1834.83575090383,9.36145281951007,2.19626410105962,4.26244403621291,2.0220314779959e-05,0.0175694065983066
"Glyma.17G132000.Wm82.a4.v1",23.8087260937836,19.7097885751753,3.24347576982122,6.0767491339273,1.22643400479e-09,1.31599838135464e-05
"Glyma.17G160200.Wm82.a4.v1",1068.86965818547,5.60936916840524,1.43494418371411,3.9091201121749,9.26329007758885e-05,0.0456931632984379
"Glyma.17G187700.Wm82.a4.v1",213.870194063301,6.99409323769481,1.52542561674342,4.58501100343801,4.5396252812716e-06,0.00559816861917954
"Glyma.17G242100.Wm82.a4.v1",2921.57754253888,7.26458604442767,1.73279305104577,4.19241411433603,2.76001585569337e-05,0.022690616066961
"Glyma.18G042100.Wm82.a4.v1",1267.11207378137,4.20527350366693,1.08219656290901,3.88586847140124,0.00010196470507736,0.0495878774875516
"Glyma.18G052600.Wm82.a4.v1",103.634864894326,-4.98012005849573,1.24174460080973,-4.01058321916458,6.05689468475797e-05,0.0366909678192997
"Glyma.18G202400.Wm82.a4.v1",1004.62511766554,9.81464830276003,2.06959085059768,4.74231334175335,2.11291479041458e-06,0.00303986811659271
"Glyma.19G174200.Wm82.a4.v1",195.89899984097,8.45543759749357,1.79135369571732,4.72013852859344,2.35684080694134e-06,0.00312997523934144
"Glyma.20G125500.Wm82.a4.v1",1160.20359191457,7.21213510332499,1.39079654502729,5.18561476810649,2.15303448556419e-07,0.000571862521169583
"Glyma.20G186500.Wm82.a4.v1",265.817856609716,6.30549925737101,1.60646261530224,3.92508309705339,8.66998038821453e-05,0.0451630028607217
