"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AverageFPKM"
"Glyma.01G010300.Wm82.a4.v1",916.499813703763,-0.370574651942686,0.982495749543761,-0.377176849991228,0.706042183024741,0.999992088905012,8.30195
"Glyma.01G010600.Wm82.a4.v1",756.214189899468,0.274332769608453,0.988302411336551,0.277579783739931,0.78133495273535,0.999992088905012,10.9352
"Glyma.01G011100.Wm82.a4.v1",1038.98525706535,0.304737501861931,1.03750500381689,0.293721476755128,0.768970741751595,0.999992088905012,5.21575
"Glyma.01G011200.Wm82.a4.v1",655.435839190975,0.31077067940099,1.02300650447291,0.303781723813293,0.761294191423529,0.999992088905012,1.63785
"Glyma.01G011300.Wm82.a4.v1",935.167485133975,-0.00036271187072757,1.01834850206207,-0.000356176564302997,0.999715812224432,0.999992088905012,3.76498
"Glyma.01G013600.Wm82.a4.v1",597.279275479142,0.459747556463279,1.09501961452872,0.419853261405867,0.674592653261586,0.999992088905012,2.05106
"Glyma.01G013900.Wm82.a4.v1",575.025508609379,-0.050461401731077,1.0537966084786,-0.0478853332085876,0.961807628385487,0.999992088905012,3.87525
"Glyma.01G014400.Wm82.a4.v1",648.695429455268,0.19038453335296,0.983318352894179,0.193614339438093,0.846477869407807,0.999992088905012,4.54605
"Glyma.01G014500.Wm82.a4.v1",250.690796924878,-0.175818167229006,1.02878399103451,-0.170899011610989,0.864303173850165,0.999992088905012,1.71508
"Glyma.01G015000.Wm82.a4.v1",1692.30777449932,0.152160634517669,1.00046807143426,0.152089445792641,0.879116388406952,0.999992088905012,8.81765
"Glyma.01G015300.Wm82.a4.v1",143.746747326839,-0.0836564137956953,1.16682001854084,-0.071696073487247,0.942843781025951,0.999992088905012,1.62756
"Glyma.01G015400.Wm82.a4.v1",259.373938160504,-0.45706610288489,1.2454140153138,-0.366999324935112,0.713619521549322,0.999992088905012,8.42357
"Glyma.01G015500.Wm82.a4.v1",699.309427021595,0.271890126880215,0.978229950492587,0.277940914345655,0.781057715684848,0.999992088905012,5.66807
"Glyma.01G015900.Wm82.a4.v1",625.44235373568,-0.0178339600145925,0.996354701940511,-0.0178992079626451,0.985719260867861,0.999992088905012,2.31834
"Glyma.01G017000.Wm82.a4.v1",661.849036353382,0.438187170172338,1.07784866683238,0.40653867621333,0.684346845180006,0.999992088905012,3.64915
"Glyma.01G017400.Wm82.a4.v1",490.66677476854,0.483958704671828,1.18033119217909,0.410019414786759,0.681791705625803,0.999992088905012,2.98875
"Glyma.01G017700.Wm82.a4.v1",3279.63214481782,0.2437655585722,1.00183449671061,0.243319190317935,0.807758139313844,0.999992088905012,13.8608
"Glyma.01G018100.Wm82.a4.v1",674.288163716382,0.369447943236164,1.04280750440345,0.354282014346945,0.723127545253593,0.999992088905012,7.94468
"Glyma.01G018400.Wm82.a4.v1",3235.04563695296,-0.00391690252271172,1.00658206921371,-0.00389128978402267,0.996895207795251,0.999992088905012,11.0386
"Glyma.01G019100.Wm82.a4.v1",746.685187058426,0.0721737680735401,1.1329848971602,0.0637023214117343,0.949207256284247,0.999992088905012,2.3653
"Glyma.01G019800.Wm82.a4.v1",4517.77229589858,0.381952066499288,1.04658618336486,0.364950419344618,0.715148416904629,0.999992088905012,11.5041
"Glyma.01G020200.Wm82.a4.v1",129.682589909245,-0.418320929301722,1.0525879786425,-0.397421344143813,0.691056778437539,0.999992088905012,2.26045
"Glyma.01G020300.Wm82.a4.v1",1687.4569485434,-0.158733344033112,0.975172410603585,-0.1627746461109,0.870695871475069,0.999992088905012,5.861
"Glyma.01G020900.Wm82.a4.v1",329.840132412657,0.00691066915490375,1.2554534480844,0.00550452043080388,0.995608050312808,0.999992088905012,2.30478
"Glyma.01G021400.Wm82.a4.v1",657.676431411471,-0.346196984914758,1.0144331233564,-0.341271373088957,0.732899296661331,0.999992088905012,2.78145
"Glyma.01G021600.Wm82.a4.v1",595.681389059846,0.437578768836305,0.988742943031496,0.442560699846497,0.658083516295814,0.999992088905012,2.10063
