GeneID,AverageFPKM
Os01g0238600,2.57693
Os01g0238900,2.17556
Os01g0239000,12.4301
Os01g0238500,157.731
Os01g0242300,2.38773
Os01g0242500,2.21945
Os01g0239700,5.68015
Os01g0243100,1.48134
Os01g0242900,3.11183
Os01g0242600,3.42097
Os01g0243400,1.30409
Os01g0243450,1.21206
Os01g0243200,1.26555
Os01g0246100,2.8276
Os01g0247600,1.91888
Os01g0246400,8.38203
Os01g0247500,1.22067
Os01g0248600,1.7084
Os01g0249200,3.2434
Os01g0248400,4.139
Os01g0248500,1.0336
Os01g0250600,2.69327
Os01g0249300,18.7463
Os01g0251000,1.15143
Os01g0250900,5.5375
Os01g0251200,2.41629
Os01g0239100,4.1318
Os01g0239200,114.654
Os01g0252600,2.5047
Os01g0252900,1.23725
Os01g0253100,4.1468
Os01g0253600,2.5438
Os01g0254000,17.2398
Os01g0253300,9.05968
Os01g0252100,24.6882
Os01g0254200,7.48747
Os01g0254100,6.65932
Os01g0256400,2.35602
Os01g0255000,8.79777
Os01g0254900,12.3916
Os01g0256600,2.53451
Os01g0257100,1.45307
Os01g0256900,4.29483
Os01g0256500,28.836
Os01g0257400,1.45896
Os01g0258700,5.99047
Os01g0259200,4.90777
Os01g0259933,1.19082
Os01g0260700,5.40623
Os01g0260800,3.47023
Os01g0259600,11.7073
Os01g0261200,3.41337
Os01g0261100,7.66312
Os01g0261500,4.9883
Os01g0262600,2.07389
Os01g0263500,1.29913
Os01g0264000,2.41912
Os01g0263900,1.63105
Os01g0264500,5.6326
Os01g0264900,1.97013
Os01g0264700,2.92988
Os01g0265100,1.34642
Os01g0265200,1.35646
Os01g0265700,1.9266
Os01g0265800,6.77195
Os01g0266200,4.17013
Os01g0266500,3.72245
Os01g0266600,3.02168
Os01g0267100,1.76119
Os01g0267400,1.23116
Os01g0266800,14.0713
Os01g0267200,9.3458
Os01g0267900,5.05077
Os01g0268100,2.65473
Os01g0268800,3.10075
Os01g0269000,2.45752
Os01g0268300,6.5764
Os01g0269100,2.17976
Os01g0269900,1.81444
Os01g0270100,10.8462
Os01g0271400,5.94595
Os01g0271500,3.53678
Os01g0272800,1.97821
Os01g0273300,1.11767
Os01g0273000,13.6006
Os01g0273500,2.57932
Os01g0275300,1.35741
Os01g0275600,4.22232
Os01g0275900,3.47863
Os01g0275950,1.90171
Os01g0276100,5.91298
Os01g0276500,1.53076
Os01g0276000,7.95385
Os01g0276700,2.21043
Os01g0276900,4.949
Os01g0277700,1.33204
Os01g0277600,1.45189
Os01g0278466,1.2724
Os01g0278200,1.38805
Os01g0276800,10.823
Os01g0278900,39.2505
Os01g0279300,11.271
Os01g0279200,6.91215
Os01g0279800,4.71608
Os01g0279900,2.92552
Os01g0280000,3.71303
Os01g0281100,9.59907
Os01g0281600,1.40473
Os01g0281400,4.05397
Os01g0282800,1.91144
Os01g0281000,26.9875
Os01g0279700,107.987
Os01g0283100,8.62087
Os01g0283300,6.01457
Os01g0283500,5.21725
Os01g0284700,2.25953
Os01g0286000,2.1969
Os01g0286100,1.43033
Os01g0287700,1.31561
Os01g0286600,4.22067
Os01g0290100,5.3285
Os01g0290700,3.02745
Os01g0290800,1.46966
Os01g0290000,12.9442
Os01g0292700,4.01375
Os01g0292900,3.87597
Os01g0295700,2.94183
Os01g0295900,1.8513
Os01g0294700,16.1934
Os01g0296200,1.00914
Os01g0279100,710.043
Os01g0296100,8.3212
Os01g0299500,6.64725
Os01g0292200,137.125
Os01g0300600,3.02422
Os01g0301900,5.09475
Os01g0300200,8.38963
Os01g0302800,1.0641
Os01g0302000,16.4358
Os01g0304000,10.5411
Os01g0305900,1.38525
Os01g0305200,14.2055
Os01g0306900,2.94157
Os01g0309451,1.11008
Os01g0309800,11.9296
Os01g0309900,3.53755
Os01g0310100,1.40887
Os01g0303000,251.09
Os01g0310600,4.58467
Os01g0310800,1.03932
Os01g0310500,3.66902
Os01g0310550,3.44247
Os01g0314100,2.04337
Os01g0314300,7.12453
Os01g0316500,3.54122
Os01g0315800,5.55462
Os01g0314800,200.564
Os01g0316800,4.67355
Os01g0316600,14.042
Os01g0317800,1.12035
Os01g0320700,1.03779
Os01g0318700,1.2433
Os01g0316900,5.5002
Os01g0321800,2.18005
Os01g0321700,3.634
Os01g0322700,3.02095
Os01g0322800,1.74507
Os01g0323000,1.11372
Os01g0323300,2.65002
Os01g0321300,9.62182
Os01g0327400,1.58211
Os01g0327900,1.27881
Os01g0328500,1.90926
Os01g0328400,21.0356
Os01g0323600,28.7875
Os01g0328600,10.8219
Os01g0328900,1.12848
Os01g0329400,5.16627
Os01g0329900,1.16396
Os01g0331900,3.00108
Os01g0328700,41.2765
Os01g0332100,14.2384
Os01g0332900,10.0027
Os01g0337900,1.26169
Os01g0337600,4.57088
Os01g0338100,1.65233
Os01g0332800,27.6998
Os01g0338000,9.18735
Os01g0338200,4.74435
Os01g0339900,4.05337
Os01g0338600,16.9611
Os01g0342500,3.20558
Os01g0343200,2.9868
Os01g0346250,1.26731
Os01g0346700,5.95747
Os01g0343300,16.6794
Os01g0343350,1.06725
Os01g0348900,6.0672
Os01g0349400,2.69089
Os01g0348700,10.4134
Os01g0349600,4.16282
Os01g0348600,10.2386
Os01g0351300,1.85455
Os01g0353900,1.16519
Os01g0352100,5.6675
Os01g0350900,11.5655
Os01g0355500,1.42308
Os01g0355600,2.44639
Os01g0355900,2.63628
Os01g0356500,1.23282
