"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AverageFPKM"
"35","Os02g0759400",4351.48864595829,4.73838227531408,1.35339006461501,3.50112092529804,0.000463305567005032,0.0348116923807546,1.94087
"36","Os02g0791500",121.816196399986,4.24148791800118,1.05387130371134,4.02467350905586,5.70544153134175e-05,0.0076729919840704,1.32559
"37","Os02g0806350",271.95444016964,5.2880376330698,1.50152539494983,3.52177702145789,0.000428664534585482,0.0328750993332913,1.56035
"38","Os03g0152000",2036.77703411792,6.16901161538299,1.59009038147185,3.87966098485088,0.000104602152674548,0.0117991708499755,1.06215
"39","Os03g0181100",2188.67845000589,5.97971851736955,0.98724279920691,6.05698873891335,1.38693294024628e-09,1.71600589586871e-06,1.29254
"40","Os03g0230300",10648.7249544827,7.87084628033563,2.11844797096161,3.71538333167695,0.00020289586679253,0.018764442779177,1.51161
"41","Os03g0292100",8149.66174749084,4.69827110951169,0.968651662053908,4.85032059878943,1.23262077522312e-06,0.000357440765115093,3.52997
"42","Os03g0310900",121.939898150026,4.24371539064181,1.14232723882331,3.71497347381228,0.000203225012048848,0.018764442779177,1.33494
"43","Os03g0319300",5098.84494176437,3.13726506907911,0.919633905061757,3.41142823444339,0.000646235102676429,0.0454298381461055,11.0315
"44","Os03g0634400",1463.67476812832,4.37171600926175,1.23742760143524,3.53290649423949,0.00041101781626214,0.0321859900928652,1.37948
"45","Os03g0710700",2785.5225292112,5.02764788241627,1.46732610630037,3.42640116660413,0.00061163630422412,0.043491793755155,1.61757
"46","Os03g0739700",4928.87216349734,6.01349628190762,1.14229287127937,5.26440848323993,1.40641435253804e-07,5.67427042798988e-05,1.53652
"47","Os03g0750500",147.533966915448,10.4449034037007,2.33477713509886,4.4736190219965,7.69067173889861e-06,0.00158543462147874,3.3191
"48","Os03g0757900",171.407431502135,4.28745641395599,1.11020973348596,3.86184365407583,0.000112534577238577,0.0122975917372077,2.44269
"49","Os03g0760800",57.1367287871717,-4.03897165332827,1.09498605388739,-3.68860556624372,0.000225486467210531,0.02051374188706,4.4065
"50","Os03g0764100",2945.40452309006,3.72439814960249,0.76691511080223,4.85633689719139,1.19577188728721e-06,0.000357440765115093,4.74783
"51","Os03g0766800",6065.74244062124,3.86245405795483,0.865750447533892,4.46139423774728,8.14281310949526e-06,0.00164263552716438,15.4066
"52","Os03g0802500",749.674564863301,5.88072456705131,1.6419578689408,3.58153194932149,0.000341585355138534,0.0276833301572753,1.22777
"53","Os03g0815100",14129.2843308411,5.68359330837648,1.06688467490247,5.32727992263648,9.96944607017426e-08,4.30285929340382e-05,4.07135
"54","Os03g0820300",2628.38426659634,7.45503225456065,1.83573831454516,4.06105390702583,4.88516889943901e-05,0.00676595892572302,1.0491
"55","Os04g0150500",162.282338258303,22.3343868832803,5.64929837017475,3.95347978099259,7.70227752784949e-05,0.00964833870790606,1
"56","Os04g0206350",277.132419090277,8.91134344359751,2.59326107119338,3.43634643753652,0.000589616496509787,0.042249778219016,1
"57","Os04g0206500",57.2633722719275,20.8878805180804,5.64987189770058,3.69705382640294,0.000218116107992197,0.0199409696957005,1
"58","Os04g0206600",79.7932236576039,21.1855835293328,5.64962161029343,3.74991193936481,0.000176896680255657,0.0170721149193226,1
"59","Os04g0223500",341.072745088507,8.2102999809576,2.37621677669863,3.45519822158838,0.000549888386010584,0.0401786557321671,1.0105
"60","Os04g0301500",317.208474048213,11.5504450282469,2.47955604706449,4.6582714038351,3.18875635310997e-06,0.000821946238296778,1
"61","Os04g0401700",711.722042627754,6.56797322881808,1.73780105027043,3.77947362144591,0.000157160240785418,0.0158057529220259,1.07413
"62","Os04g0418800",92.386892078619,-4.68892568923998,1.06279897435498,-4.41186508679661,1.02483967993637e-05,0.00191704922817787,3.23172
"63","Os04g0435200",38.1755815146183,20.3254518096218,3.79109035388574,5.36137361875029,8.25914956192656e-08,3.93029632614859e-05,1.03602
"64","Os04g0447700",716.978981690572,8.69780504280128,2.31336200289392,3.75981149163887,0.000170041437717137,0.0166094686452229,1.06405
